OBJECTID,Ohrozenie,Dátum,Poznámka,Druh ohrozenia,Ohrozenie detail,Hodina výskytu,Y,X
561,Medveď - vizuálny kontakt,2022-07-28 10:00:00,,Samec,,Nedefinované,"48,85081284","19,08104157"
562,Medveď - pobytové znaky,2022-08-08 10:56:20,,Trus,,6,"48,84293064","19,18567525"
563,Medveď - pobytové znaky,2022-08-08 10:57:01,,Stopa,,6,"48,84282883","19,17576412"
564,Medveď - vizuálny kontakt,2022-08-06 10:00:00,,Medvedica s mladými,,18,"48,83761131","19,10596922"
565,Medveď - vizuálny kontakt,2022-07-16 10:00:00,,Samec,,16,"48,85297912","19,13270586"
566,Medveď - vizuálny kontakt,2022-08-09 10:57:47,,Medvedica s mladými,,7,"48,88774734","20,05172855"
567,Medveď - pobytové znaky,2022-08-04 10:00:00,,Stopa,,Nedefinované,"49,11554364","22,02714291"
568,Medveď - pobytové znaky,2022-07-18 10:00:00,,Trus,,Nedefinované,"49,28518861","21,9611547"
569,Medveď - pobytové znaky,2022-07-26 10:00:00,,Trus,,Nedefinované,"49,2834455","21,97067948"
570,Medveď - pobytové znaky,2022-08-14 10:00:00,na zvážnici vyzeralo to na mladého,Trus,,8,"48,90467067","19,85396279"
571,Medveď - pobytové znaky,2022-04-10 10:00:00,,Nedefinované,,Nedefinované,"49,39600607","19,08388188"
572,Medveď - pobytové znaky,2022-04-23 10:00:00,,Stopa,,8,"49,391609","18,94541686"
573,Medveď - vizuálny kontakt,2022-04-25 10:00:00,,Nedefinované,,9,"49,39151422","19,00403016"
574,Medveď - vizuálny kontakt,2022-03-11 11:00:00,,Nedefinované,,8,"48,84996445","19,29357525"
575,Medveď - vizuálny kontakt,2022-08-10 10:00:00,,Medvedica s mladými,,7,"48,82247743","19,28999673"
576,Medveď - vizuálny kontakt,2022-07-16 10:00:00,,Medvedica s mladými,,10,"48,81227873","19,29523381"
577,Medveď - vizuálny kontakt,2022-06-01 10:00:00,,Medvedica s mladými,,11,"48,81853542","19,28688899"
578,Medveď - vizuálny kontakt,2021-11-18 11:00:00,,Nedefinované,,10,"48,8458095","19,28147574"
579,Medveď - vizuálny kontakt,2022-04-10 10:00:00,,Nedefinované,,14,"48,84749918","19,26642936"
580,Medveď - vizuálny kontakt,2021-11-10 11:00:00,,Nedefinované,,14,"48,82405595","19,26164287"
581,Medveď - vizuálny kontakt,2022-03-07 11:00:00,,Nedefinované,,12,"48,83536925","19,28974465"
582,Medveď - vizuálny kontakt,2021-05-01 10:00:00,,Nedefinované,,11,"48,81818582","19,29334663"
583,Medveď - vizuálny kontakt,2022-04-04 10:00:00,,Samec,,7,"49,39444257","19,04352594"
584,Medveď - vizuálny kontakt,2022-08-18 10:00:00,,Samec,,10,"49,38142711","19,03748531"
585,Medveď - pobytové znaky,2022-07-14 10:00:00,,Trus,,Nedefinované,"49,38356314","19,02386881"
586,Medveď - pobytové znaky,2022-08-10 10:00:00,,Stopa,,6,"49,39095696","19,03797972"
587,Medveď - pobytové znaky,2022-08-18 10:00:00,,Stopa,,7,"49,39389725","19,02681849"
588,Medveď - vizuálny kontakt,2022-05-09 10:00:00,,Medvedica,,7,"49,38211426","19,03343678"
589,Medveď - vizuálny kontakt,2022-08-17 10:00:00,,Medvedica,,8,"49,39390841","19,03748045"
590,Medveď - vizuálny kontakt,2022-08-11 10:00:00,,Nedefinované,,Nedefinované,"48,55231832","19,38493709"
591,Medveď - pobytové znaky,2022-08-18 10:00:00,roztrhaných 5 ks oviec,Nedefinované,,5,"48,559532","19,33437508"
592,Medveď - vizuálny kontakt,2022-08-19 10:00:00,,Samec,,Nedefinované,"48,48261398","19,85193479"
593,Medveď - vizuálny kontakt,2022-06-30 10:00:00,,Samec,,18,"48,49561454","19,83442682"
594,Medveď - vizuálny kontakt,2022-08-23 10:41:43,,Medvedica,,11,"48,48726803","19,63147144"
595,Medveď - vizuálny kontakt,2022-04-07 10:00:00,,Medvedica,,Nedefinované,"48,66363254","18,98402369"
596,Medveď - pobytové znaky,2022-08-18 10:00:00,,Nedefinované,,Nedefinované,"48,70488892","19,00843618"
597,Medveď - pobytové znaky,2022-08-18 10:00:00,,Nedefinované,,Nedefinované,"48,70756563","18,98333368"
