OBJECTID,Ohrozenie,Dátum,Poznámka,Druh ohrozenia,Ohrozenie detail,Hodina výskytu,Y,X
1,Medveď - vizuálny kontakt,2022-06-03 10:00:00,,Samec,,20,"49,24976374","22,01491843"
2,Medveď - vizuálny kontakt,2022-07-13 10:55:18,,Nedefinované,,,"48,98855018","19,90055973"
3,Medveď - pobytové znaky,2022-07-14 10:54:44,,Nedefinované,,Nedefinované,"48,95611408","20,00674147"
4,Medveď - pobytové znaky,2022-07-14 10:56:11,,Nedefinované,,Nedefinované,"48,93001732","20,04846014"
5,Medveď - vizuálny kontakt,2022-07-14 10:56:13,,Medvedica,,Nedefinované,"48,88733729","19,23484167"
6,Medveď - pobytové znaky,2022-07-14 10:57:56,,Trus,,Nedefinované,"48,88073057","19,24675234"
7,Medveď - pobytové znaky,2022-07-14 10:58:45,,Stopa,,Nedefinované,"48,87960691","19,26058579"
8,Medveď - vizuálny kontakt,2022-07-13 10:00:00,Turistický chodnik,Samec,,Nedefinované,"48,86961704","19,30124695"
9,Medveď - vizuálny kontakt,2022-07-14 10:24:41,"opakovane, brloh",Samec,,10,"48,8051113","18,78179123"
10,Medveď - vizuálny kontakt,2022-07-05 10:00:00,,Samec,,9,"48,85432954","18,95164554"
11,Medveď - vizuálny kontakt,2022-06-10 10:00:00,medvedica s 1 mladým,Medvedica s mladými,,11,"49,24435178","19,54080541"
12,Medveď - vizuálny kontakt,2022-05-12 10:00:00,mladý medveď do 100 kg,Samec,,10,"49,26946121","19,53232051"
13,Medveď - vizuálny kontakt,2022-07-08 10:00:00,,Samec,,7,"48,78196513","20,17011408"
14,Medveď - vizuálny kontakt,2022-07-09 10:00:00,,Samec,,18,"48,95430874","18,96183695"
15,Medveď - vizuálny kontakt,2022-06-16 10:00:00,50m,Samec,,7,"49,20986689","22,01312506"
16,Medveď - pobytové znaky,2022-06-23 10:00:00,"medvedica, pestúň, mláďatá",Stopa,,10,"48,79540276","18,6655784"
17,Medveď - vizuálny kontakt,2022-07-03 10:00:00,"V lokalite veľa turistov na prechádzke, medveď na zvážnici vo vzdialenosti približne 150m",Nedefinované,,16,"48,81828427","19,1287045"
18,Medveď - pobytové znaky,2022-05-19 10:00:00,,Trus,,9,"49,30541309","19,72147893"
19,Medveď - pobytové znaky,2022-05-25 10:00:00,,Trus,,10,"49,28770768","19,81054385"
20,Medveď - pobytové znaky,2022-06-16 10:00:00,,Trus,,9,"49,28016802","19,32200198"
21,Medveď - vizuálny kontakt,2022-06-13 10:00:00,,Samec,,21,"49,25993115","22,0259325"
22,Medveď - pobytové znaky,2022-07-07 10:46:07,,Nedefinované,,Nedefinované,"48,91470646","20,13812405"
23,Medveď - pobytové znaky,2022-07-05 10:00:00,,Nedefinované,,Nedefinované,"48,90481559","20,14289514"
24,Medveď - pobytové znaky,2022-07-07 10:47:36,,Nedefinované,,Nedefinované,"48,90198747","20,15315581"
25,Medveď - pobytové znaky,2022-07-03 10:00:00,,Nedefinované,,Nedefinované,"48,92427993","20,12963648"
26,Medveď - vizuálny kontakt,2022-07-07 10:49:34,celoročne - obťažuje ubytovaných na chate,Nedefinované,,Nedefinované,"48,9203301","20,09929377"
27,Medveď - pobytové znaky,2022-05-31 10:00:00,,Nedefinované,,Nedefinované,"48,9059989","20,09861269"
28,Medveď - pobytové znaky,2022-06-09 10:00:00,,Nedefinované,,Nedefinované,"48,90643138","20,07128648"
29,Medveď - pobytové znaky,2022-06-27 10:00:00,,Nedefinované,,Nedefinované,"48,91009123","20,03191642"
30,Medveď - pobytové znaky,2022-05-29 10:00:00,,Nedefinované,,Nedefinované,"48,91756736","20,04149638"
31,Medveď - vizuálny kontakt,2021-09-20 10:00:00,,Nedefinované,,Nedefinované,"48,92962727","20,06227692"
32,Medveď - pobytové znaky,2022-05-04 10:00:00,,Značkovacie stromy a vývratiská,,Nedefinované,"49,24044763","22,02053106"
33,Medveď - pobytové znaky,2022-06-09 10:00:00,,Trus,,Nedefinované,"49,30085285","19,30743117"
34,Medveď - pobytové znaky,2022-06-20 10:00:00,,Trus,,Nedefinované,"49,25413077","22,03973088"
35,Medveď - pobytové znaky,2022-04-28 10:00:00,,Stopa,,Nedefinované,"49,25279585","21,96725959"
36,Medveď - pobytové znaky,2022-05-12 10:00:00,,Stopa,,Nedefinované,"49,25290169","21,97735294"
37,Medveď - pobytové znaky,2022-06-29 10:00:00,,Nedefinované,,Nedefinované,"49,01397796","19,97940795"
38,Medveď - vizuálny kontakt,2022-03-08 11:00:00,,Samec,,Nedefinované,"48,52082928","18,51166102"
39,Medveď - pobytové znaky,2022-03-10 11:00:00,,Trus,,Nedefinované,"49,25570701","22,04144348"
40,Medveď - vizuálny kontakt,2022-04-08 10:00:00,,Nedefinované,,Nedefinované,"49,01140589","19,97359255"
41,Medveď - vizuálny kontakt,2022-07-08 10:21:52,,Nedefinované,,Nedefinované,"48,76656035","20,5420479"
42,Medveď - pobytové znaky,2022-07-08 10:29:59,,Nedefinované,,Nedefinované,"48,78256635","20,45702407"
43,Medveď - vizuálny kontakt,2022-07-08 10:32:17,,Nedefinované,,Nedefinované,"48,84431459","20,49089314"
44,Medveď - vizuálny kontakt,2022-06-17 10:00:00,medvedica  s medvieďatami,Nedefinované,,Nedefinované,"48,81040831","18,74686632"
45,Medveď - vizuálny kontakt,2022-07-13 10:52:44,,Nedefinované,,Nedefinované,"48,9400097","19,95881223"
46,Medveď - pobytové znaky,2022-01-20 11:00:00,,Stopa,,Nedefinované,"49,25800167","22,02836805"
47,Medveď - pobytové znaky,2022-05-30 10:00:00,,Trus,,Nedefinované,"49,24168553","22,00766338"
48,Medveď - pobytové znaky,2022-06-08 10:00:00,,Stopa,,Nedefinované,"49,23634073","22,0188624"
49,Medveď - vizuálny kontakt,2022-07-13 10:17:08,,Nedefinované,,,"48,93558346","19,96640533"
50,Medveď - pobytové znaky,2022-07-13 10:17:31,,Nedefinované,,,"48,93911808","19,96029177"
51,Medveď - vizuálny kontakt,2022-06-06 10:00:00,"10 30 hod, 100m/mladina",Nedefinované,,Nedefinované,"48,63650353","18,61176126"
52,Medveď - pobytové znaky,2022-07-13 10:19:18,,Nedefinované,,,"48,93813829","19,95716986"
53,Medveď - pobytové znaky,2022-07-13 10:20:03,,Nedefinované,,,"48,95662844","19,96515657"
54,Medveď - vizuálny kontakt,2022-07-13 10:20:43,,Nedefinované,,,"48,94963361","19,9803293"
55,Medveď - vizuálny kontakt,2022-07-13 10:21:08,,Nedefinované,,,"48,9407351","19,98561902"
56,Medveď - vizuálny kontakt,2022-07-13 10:22:19,,Nedefinované,,,"48,9264263","19,98494972"
57,Medveď - vizuálny kontakt,2022-07-13 10:53:22,,Nedefinované,,,"48,99322797","19,90145676"
58,Medveď - vizuálny kontakt,2022-07-14 10:53:53,,Nedefinované,,Nedefinované,"48,96895636","19,98306064"
59,Medveď - vizuálny kontakt,2022-07-14 10:55:34,,Nedefinované,,Nedefinované,"48,93502397","20,02363213"
60,Medveď - vizuálny kontakt,2022-07-14 10:56:58,,Samec,,Nedefinované,"48,88142809","19,24587928"
61,Medveď - pobytové znaky,2022-07-14 10:59:55,,Stopa,,Nedefinované,"48,89797198","19,26098054"
62,Medveď - vizuálny kontakt,2022-07-14 10:00:22,,Medvedica,,Nedefinované,"48,87017366","19,2494764"
63,Medveď - pobytové znaky,2022-07-14 10:01:03,,Stopa,,Nedefinované,"48,85976164","19,23294742"
64,Medveď - vizuálny kontakt,2022-07-14 10:01:53,,Samec,,Nedefinované,"48,88085138","19,2571928"
65,Medveď - pobytové znaky,2022-07-14 10:08:36,,Trus,,Nedefinované,"48,88163303","19,29059695"
66,Medveď - vizuálny kontakt,2022-07-14 10:11:52,,Samec,,Nedefinované,"48,90597858","19,30735406"
67,Medveď - útok,2022-05-19 10:00:00,opakovaný útok,Medvedica,,12,"48,93955534","18,78574335"
68,Medveď - vizuálny kontakt,2022-06-23 10:00:00,,Samec,,13,"48,98798388","18,68574843"
69,Medveď - vizuálny kontakt,2022-07-04 10:00:00,opakovane,Samec,,7,"48,89940792","18,92832125"
70,Medveď - vizuálny kontakt,2022-07-05 10:00:00,,Samec,,12,"48,86931495","18,91780882"
71,Medveď - útok,2022-06-06 10:00:00,Nedokončený útok - vzdialenosť cca 2 m,Medvedica s mladými,,7,"49,29386006","19,3020957"
72,Medveď - vizuálny kontakt,2022-06-15 10:00:00,mladý medveď do 100 kg,Samec,,9,"49,24453255","19,54005779"
73,Medveď - vizuálny kontakt,2022-05-10 10:00:00,Starší samec do 200 kg,Samec,,13,"49,24383378","19,54147936"
74,Medveď - pobytové znaky,2019-12-06 11:00:00,na snehu,Stopa,,14,"48,48368134","17,33812227"
75,Medveď - vizuálny kontakt,2022-03-24 11:00:00,,Nedefinované,,12,"48,93604193","18,94847679"
76,Medveď - vizuálny kontakt,2022-06-27 10:00:00,Medvieďa/30 m/chodník,Medvedica s mladými,,18,"48,87955233","19,19935205"
77,Medveď - vizuálny kontakt,2022-06-27 10:00:00,Medvedica s mladými/50 m/chodník,Medvedica s mladými,,18,"48,88129816","19,19930656"
78,Medveď - pobytové znaky,2022-05-17 10:00:00,,Trus,,10,"49,31133085","18,88757244"
79,Medveď - pobytové znaky,2022-05-09 10:00:00,,Stopa,,11,"49,31507132","18,88886126"
80,Medveď - pobytové znaky,2022-07-08 10:00:00,,Stopa,,9,"49,32384931","18,88925907"
81,Medveď - vizuálny kontakt,2022-07-12 10:00:00,,Samec,,21,"48,77475205","18,66912554"
82,Medveď - pobytové znaky,2022-07-13 10:36:43,,Trus,,9,"48,80850206","20,01071625"
83,Medveď - vizuálny kontakt,2022-07-12 10:00:00,,Medvedica s mladými,,7,"48,75245259","20,17607896"
84,Medveď - pobytové znaky,2022-07-11 10:00:00,,Stopa,,17,"48,76051265","20,14220405"
85,Medveď - pobytové znaky,2022-06-19 10:00:00,,Nedefinované,,Nedefinované,"48,99090177","20,03173301"
86,Medveď - vizuálny kontakt,2022-04-28 10:00:00,,Nedefinované,,Nedefinované,"49,0134251","20,02121369"
87,Medveď - pobytové znaky,2022-07-01 10:00:00,,Nedefinované,,Nedefinované,"49,0100396","20,04143293"
88,Medveď - pobytové znaky,2022-05-18 10:00:00,,Nedefinované,,Nedefinované,"48,98677374","20,05364277"
89,Medveď - vizuálny kontakt,2022-06-30 10:00:00,,Medvedica s mladými,,Nedefinované,"49,00047074","20,06966232"
90,Medveď - pobytové znaky,2022-06-06 10:00:00,,Nedefinované,,Nedefinované,"48,93916324","20,04170656"
91,Medveď - pobytové znaky,2022-07-07 10:37:35,,Nedefinované,,Nedefinované,"48,94970095","20,02785555"
92,Medveď - pobytové znaky,2022-06-09 10:00:00,,Nedefinované,,Nedefinované,"48,96182228","20,03966169"
93,Medveď - pobytové znaky,2022-07-05 10:00:00,,Nedefinované,,Nedefinované,"48,97846012","20,01019177"
94,Medveď - vizuálny kontakt,2022-06-17 10:00:00,,2,,Nedefinované,"48,85608561","19,14936332"
95,Medveď - útok,2022-05-09 10:00:00,,Medvedica s mladými,,Nedefinované,"48,646072","19,43672095"
96,Medveď - pobytové znaky,2022-06-11 10:00:00,,Značkovacie stromy a vývratiská,,Nedefinované,"48,98701719","19,64160688"
97,Medveď - vizuálny kontakt,2022-05-31 10:00:00,,Medvedica s mladými,,Nedefinované,"48,72392377","19,15383925"
98,Medveď - vizuálny kontakt,2022-06-02 10:00:00,,Medvedica s mladými,,Nedefinované,"48,9502467","20,11832907"
99,Medveď - pobytové znaky,2022-07-07 10:49:29,celoročne - obťažuje ubytovaných na chate,Nedefinované,,Nedefinované,"48,91969917","20,09960617"
100,Medveď - pobytové znaky,2022-06-09 10:00:00,,Nedefinované,,Nedefinované,"48,90827162","20,0754708"
101,Medveď - pobytové znaky,2022-07-16 10:00:00,,Nedefinované,,Nedefinované,"48,90399296","20,04734162"
102,Medveď - pobytové znaky,2022-04-12 10:00:00,,Trus,,Nedefinované,"49,30295894","19,32426951"
103,Medveď - vizuálny kontakt,2022-06-16 10:00:00,,Medvedica s mladými,,Nedefinované,"49,01487668","19,97580555"
104,Medveď - pobytové znaky,2022-06-02 10:00:00,,Nedefinované,,Nedefinované,"48,98433101","20,02964246"
105,Medveď - pobytové znaky,2022-06-20 10:00:00,,Nedefinované,,Nedefinované,"48,9664931","20,11628475"
106,Medveď - vizuálny kontakt,2022-05-19 10:00:00,odohnal ľudí v PČ,Nedefinované,,Nedefinované,"48,95107737","20,1226491"
107,Medveď - vizuálny kontakt,2022-04-15 10:00:00,,Nedefinované,,Nedefinované,"48,93134705","20,12843492"
108,Medveď - pobytové znaky,2022-06-28 10:00:00,,Nedefinované,,Nedefinované,"48,92761751","20,15473998"
109,Medveď - pobytové znaky,2022-07-05 10:00:00,,Nedefinované,,Nedefinované,"48,90948377","20,14338356"
110,Medveď - vizuálny kontakt,2021-09-18 10:00:00,,Nedefinované,,Nedefinované,"48,89935748","20,15473741"
111,Medveď - vizuálny kontakt,2022-07-03 10:00:00,,Medvedica s mladými,,Nedefinované,"48,92352264","20,12800685"
112,Medveď - pobytové znaky,2022-07-07 10:49:03,,Nedefinované,,Nedefinované,"48,93567878","20,10740612"
113,Medveď - pobytové znaky,2022-06-26 10:00:00,,Nedefinované,,Nedefinované,"48,90451776","20,1105404"
114,Medveď - pobytové znaky,2022-06-09 10:00:00,,Nedefinované,,Nedefinované,"48,90545264","20,07736387"
115,Medveď - pobytové znaky,2022-07-01 10:00:00,,Nedefinované,,Nedefinované,"48,91437078","20,05881818"
116,Medveď - pobytové znaky,2022-06-27 10:00:00,,Nedefinované,,Nedefinované,"48,90537511","20,01187757"
117,Medveď - vizuálny kontakt,2022-07-07 10:54:31,,Samec,,Nedefinované,"48,91793116","20,04800921"
118,Medveď - pobytové znaky,2022-07-06 10:00:00,,Nedefinované,,Nedefinované,"48,9413079","20,0747612"
119,Medveď - pobytové znaky,2022-03-24 11:00:00,,Trus,,Nedefinované,"49,24719665","22,03346204"
120,Medveď - pobytové znaky,2022-05-05 10:00:00,,Stopa,,Nedefinované,"49,29793813","19,36672835"
121,Medveď - pobytové znaky,2022-05-13 10:00:00,,Stopa,,Nedefinované,"49,29077668","19,31631155"
122,Medveď - pobytové znaky,2022-07-09 10:00:00,,Stopa,,Nedefinované,"49,24964259","22,01532524"
123,Medveď - pobytové znaky,2022-05-10 10:00:00,,Stopa,,Nedefinované,"49,25562362","21,97856206"
124,Medveď - vizuálny kontakt,2022-05-19 10:00:00,,Nedefinované,,Nedefinované,"49,00365971","19,98409841"
125,Medveď - vizuálny kontakt,2022-04-28 10:00:00,,Samec,,Nedefinované,"48,52982536","18,48546567"
126,Medveď - vizuálny kontakt,2022-05-05 10:00:00,,Samec,,Nedefinované,"48,5184999","18,45361787"
127,Medveď - vizuálny kontakt,2022-07-08 10:21:16,,Nedefinované,,Nedefinované,"48,77765176","20,53941312"
128,Medveď - vizuálny kontakt,2022-07-08 10:28:30,,Medvedica,,Nedefinované,"48,80667411","20,45356789"
129,Medveď - pobytové znaky,2022-07-08 10:30:32,,Nedefinované,,Nedefinované,"48,7898718","20,4842741"
130,Medveď - vizuálny kontakt,2022-07-08 10:39:30,,Nedefinované,,Nedefinované,"48,83232606","20,46167103"
131,Medveď - pobytové znaky,2022-05-17 10:00:00,,Trus,,Nedefinované,"49,313879","18,85914542"
132,Medveď - vizuálny kontakt,2022-07-13 10:52:38,,Nedefinované,,Nedefinované,"48,93730513","19,94919374"
133,Medveď - pobytové znaky,2022-05-04 10:00:00,,Trus,,Nedefinované,"49,2710464","19,33547306"
134,Medveď - pobytové znaky,2022-05-12 10:00:00,,Stopa,,Nedefinované,"49,24512067","19,53268455"
135,Medveď - vizuálny kontakt,2022-07-13 10:21:52,,Nedefinované,,,"48,92838822","19,97569737"
136,Medveď - vizuálny kontakt,2022-07-13 10:51:44,,Nedefinované,,,"49,00058128","19,90247616"
137,Medveď - vizuálny kontakt,2022-07-14 10:53:31,,Nedefinované,,Nedefinované,"48,96535683","19,99394383"
138,Medveď - pobytové znaky,2022-07-14 10:55:24,,Nedefinované,,Nedefinované,"48,94144913","20,01759078"
139,Medveď - vizuálny kontakt,2022-07-14 10:02:06,,Nedefinované,,Nedefinované,"48,95146221","19,98916949"
140,Medveď - vizuálny kontakt,2022-07-14 10:57:27,,Medvedica s mladými,,Nedefinované,"48,89447614","19,23495367"
141,Medveď - pobytové znaky,2022-07-14 10:58:12,,Trus,,Nedefinované,"48,88890221","19,25047799"
142,Medveď - pobytové znaky,2022-07-14 10:59:02,,Trus,,Nedefinované,"48,88357943","19,25935106"
143,Medveď - pobytové znaky,2022-07-14 10:09:03,,Trus,,Nedefinované,"48,89021733","19,29500787"
144,Medveď - vizuálny kontakt,2022-07-14 10:09:49,cesta,Medvedica s mladými,,Nedefinované,"48,89511037","19,29855899"
145,Medveď - útok,2022-07-14 10:12:30,,Medvedica s mladými,,Nedefinované,"48,90312505","19,32058531"
146,Medveď - vizuálny kontakt,2022-07-14 10:13:37,,Samec,,Nedefinované,"48,90131959","19,28521241"
147,Medveď - vizuálny kontakt,2022-07-14 10:14:29,,Samec,,Nedefinované,"48,87392231","19,27603719"
148,Medveď - vizuálny kontakt,2022-07-05 10:00:00,,Nedefinované,,Nedefinované,"48,92835755","19,32396196"
149,Medveď - pobytové znaky,2022-07-14 10:17:55,,Nedefinované,,Nedefinované,"48,91801463","19,32707115"
150,Medveď - vizuálny kontakt,2022-07-14 10:23:10,opakovane,Medvedica s mladými,,10,"48,87678753","18,91138182"
151,Medveď - vizuálny kontakt,2022-07-14 10:25:26,opakovane,Medvedica s mladými,,7,"48,80718797","18,81428145"
152,Medveď - vizuálny kontakt,2022-07-11 10:00:00,,Samec,,8,"48,96632892","18,66618455"
153,Medveď - pobytové znaky,2022-07-14 10:30:15,,Stopa,,Nedefinované,"48,61307366","20,05051169"
154,Medveď - vizuálny kontakt,2022-06-02 10:00:00,,Medvedica,,9,"48,9714967","18,65755937"
155,Medveď - útok,2022-07-14 10:33:04,,Medvedica s mladými,,10,"49,02041734","19,95669021"
156,Medveď - pobytové znaky,2022-07-14 10:34:31,,Stopa,,Nedefinované,"49,01734462","19,93574649"
157,Medveď - vizuálny kontakt,2022-06-24 10:00:00,,Nedefinované,,20,"48,57130044","18,5998491"
158,Medveď - pobytové znaky,2021-05-21 10:00:00,"rujný medveď, bručanie",Nedefinované,,17,"48,45999719","17,37786987"
159,Medveď - pobytové znaky,2022-05-13 10:00:00,,Stopa,,11,"48,71749768","20,15122756"
160,Medveď - vizuálny kontakt,2022-04-05 10:00:00,vzdialenosť cca 50 m,Medvedica s mladými,,9,"49,31304257","18,87380544"
161,Medveď - vizuálny kontakt,2022-06-24 10:00:00,40m,Medvedica s mladými,,8,"49,36366022","21,87455766"
162,Medveď - pobytové znaky,2022-07-04 10:00:00,,Trus,,8,"49,28887974","19,70654453"
163,Medveď - pobytové znaky,2022-06-09 10:00:00,,Trus,,10,"49,28787018","19,68138638"
164,Medveď - vizuálny kontakt,2022-07-08 10:00:00,,Medvedica s mladými,,11,"48,8387496","18,53965915"
165,Medveď - pobytové znaky,2022-07-11 10:00:00,,Trus,,8,"48,82067525","20,03317448"
166,Medveď - vizuálny kontakt,2022-07-09 10:00:00,,Samec,,18,"48,76545991","20,14675448"
167,Medveď - vizuálny kontakt,2022-07-05 10:00:00,,Medvedica s mladými,,Nedefinované,"49,00715145","20,01018049"
168,Medveď - pobytové znaky,2022-06-27 10:00:00,,Nedefinované,,Nedefinované,"49,01512125","20,02014553"
169,Medveď - pobytové znaky,2022-05-26 10:00:00,,Nedefinované,,Nedefinované,"49,00279243","20,04201358"
170,Medveď - pobytové znaky,2022-06-25 10:00:00,,Nedefinované,,Nedefinované,"48,98982678","20,05136082"
171,Medveď - pobytové znaky,2022-06-20 10:00:00,,Nedefinované,,Nedefinované,"48,98171984","20,05770774"
172,Medveď - útok,2021-08-10 10:00:00,nedokončený útok - ústup z cca 2m vzdialenosti,Medvedica s mladými,,Nedefinované,"48,9400027","20,04587905"
173,Medveď - pobytové znaky,2022-06-20 10:00:00,,Nedefinované,,Nedefinované,"48,94429278","20,04816815"
174,Medveď - vizuálny kontakt,2022-04-29 10:00:00,,Samec,,Nedefinované,"48,96637809","20,02412951"
175,Medveď - pobytové znaky,2022-07-05 10:00:00,,Nedefinované,,Nedefinované,"48,97090799","20,01837414"
176,Medveď - vizuálny kontakt,2022-05-19 10:00:00,,2,,Nedefinované,"48,87009559","19,12569795"
177,Medveď - vizuálny kontakt,2022-06-01 10:00:00,,2,,Nedefinované,"48,86055501","19,15000492"
178,Medveď - pobytové znaky,2022-06-27 10:00:00,,Trus,,Nedefinované,"48,87971065","19,2080835"
179,Medveď - pobytové znaky,2022-06-11 10:00:00,,Trus,,Nedefinované,"48,98494148","19,64265423"
180,Medveď - vizuálny kontakt,2022-07-03 10:00:00,,Nedefinované,,Nedefinované,"48,48464756","18,73645917"
181,Medveď - pobytové znaky,2022-06-22 10:00:00,,Nedefinované,,Nedefinované,"48,90771037","20,1597131"
182,Medveď - pobytové znaky,2022-06-28 10:00:00,,Nedefinované,,Nedefinované,"48,91223001","20,07840704"
183,Medveď - vizuálny kontakt,2022-05-27 10:00:00,,Nedefinované,,Nedefinované,"48,90314622","20,04819941"
184,Medveď - pobytové znaky,2022-07-01 10:00:00,,Nedefinované,,Nedefinované,"48,93345219","20,0741634"
185,Medveď - vizuálny kontakt,2022-07-04 10:00:00,,Medvedica s mladými,,Nedefinované,"48,99682343","20,01120546"
186,Medveď - pobytové znaky,2022-05-23 10:00:00,,Nedefinované,,Nedefinované,"49,0007252","20,00641143"
187,Medveď - vizuálny kontakt,2022-05-19 10:00:00,odohnal ľudí v PČ,Medvedica s mladými,,Nedefinované,"48,96009745","20,11024005"
188,Medveď - vizuálny kontakt,2022-05-13 10:00:00,,Medvedica,,Nedefinované,"48,93230793","20,12537846"
189,Medveď - pobytové znaky,2022-06-28 10:00:00,,Nedefinované,,Nedefinované,"48,928732","20,15163388"
190,Medveď - pobytové znaky,2022-07-05 10:00:00,,Nedefinované,,Nedefinované,"48,91214149","20,14662664"
191,Medveď - vizuálny kontakt,2022-06-19 10:00:00,,Samec,,Nedefinované,"48,9043757","20,14883019"
192,Medveď - pobytové znaky,2022-06-30 10:00:00,,Nedefinované,,Nedefinované,"48,9145665","20,15356269"
193,Medveď - pobytové znaky,2022-06-03 10:00:00,,Nedefinované,,Nedefinované,"48,92741449","20,10935597"
194,Medveď - vizuálny kontakt,2022-06-26 10:00:00,,Medvedica s mladými,,Nedefinované,"48,90731424","20,115414"
195,Medveď - pobytové znaky,2022-06-25 10:00:00,,Nedefinované,,Nedefinované,"48,9096988","20,07801259"
196,Medveď - pobytové znaky,2022-07-07 10:52:23,,Nedefinované,,Nedefinované,"48,90261419","20,06047262"
197,Medveď - pobytové znaky,2022-06-16 10:00:00,,Nedefinované,,Nedefinované,"48,9064625","20,04132104"
198,Medveď - pobytové znaky,2022-05-29 10:00:00,,Nedefinované,,Nedefinované,"48,91734613","20,04017898"
199,Medveď - vizuálny kontakt,2022-06-17 10:00:00,,Medvedica s mladými,,Nedefinované,"48,93791046","20,07824803"
200,Medveď - pobytové znaky,2022-02-25 11:00:00,,Trus,,Nedefinované,"49,25537899","22,03617009"
201,Medveď - pobytové znaky,2022-04-14 10:00:00,,Trus,,Nedefinované,"49,28213815","19,33294203"
202,Medveď - pobytové znaky,2021-12-15 11:00:00,,Stopa,,Nedefinované,"49,30675914","19,24596548"
203,Medveď - pobytové znaky,2022-07-29 10:00:00,,Trus,,Nedefinované,"49,2546866","22,00384078"
204,Medveď - pobytové znaky,2022-06-15 10:00:00,,Trus,,Nedefinované,"49,24749016","19,52919171"
205,Medveď - vizuálny kontakt,2022-04-14 10:00:00,,Nedefinované,,Nedefinované,"48,50524304","18,44107235"
206,Medveď - vizuálny kontakt,2022-07-08 10:20:37,,Nedefinované,,Nedefinované,"48,78000893","20,53003578"
207,Medveď - vizuálny kontakt,2022-07-08 10:24:00,,Nedefinované,,Nedefinované,"48,8113342","20,49576241"
208,Medveď - pobytové znaky,2022-07-08 10:30:09,,Nedefinované,,Nedefinované,"48,78445692","20,45880818"
209,Medveď - vizuálny kontakt,2022-07-08 10:37:57,,Nedefinované,,Nedefinované,"48,84494983","20,47890476"
210,Medveď - pobytové znaky,2022-05-09 10:00:00,,Stopa,,Nedefinované,"49,31521186","18,8666479"
211,Medveď - vizuálny kontakt,2022-07-13 10:52:22,,Nedefinované,,Nedefinované,"48,94659616","19,95924336"
212,Medveď - pobytové znaky,2022-06-30 10:00:00,,Stopa,,Nedefinované,"49,24030414","21,97865429"
213,Medveď - pobytové znaky,2022-04-22 10:00:00,,Značkovacie stromy a vývratiská,,Nedefinované,"49,24277739","22,02238226"
214,Medveď - pobytové znaky,2022-05-13 10:00:00,,Trus,,Nedefinované,"49,29060373","19,31618475"
215,Medveď - vizuálny kontakt,2022-06-27 10:00:00,10-12 metrov pri zvážnici stará šedivá medvedica bez mladých,Medvedica,,6,"48,76557397","19,31593341"
216,Medveď - vizuálny kontakt,2022-07-13 10:54:39,,Nedefinované,,,"48,99088363","19,90127324"
217,Medveď - vizuálny kontakt,2022-07-14 10:11:17,,Samec,,Nedefinované,"48,89422696","19,28107208"
218,Medveď - vizuálny kontakt,2022-07-14 10:11:33,,Medvedica s mladými,,Nedefinované,"48,90184703","19,27878554"
219,Medveď - vizuálny kontakt,2022-07-14 10:12:52,,Medvedica s mladými,,Nedefinované,"48,90909608","19,32575908"
220,Medveď - vizuálny kontakt,2022-07-07 10:00:00,opakovane,Medvedica s mladými,,11,"48,85031859","18,93699281"
221,Medveď - vizuálny kontakt,2022-06-25 10:00:00,vo vzdialenosti 60m,Samec,,18,"48,80895098","19,12084128"
222,Medveď - vizuálny kontakt,2022-07-11 10:00:00,medvedica+tohoročné mladé,Medvedica s mladými,,12,"49,02852435","19,17303143"
223,Medveď - vizuálny kontakt,2022-05-20 10:00:00,Fotopasca,Samec,,5,"48,66917591","18,00660769"
224,Medveď - vizuálny kontakt,2022-06-25 10:00:00,Vzdialenosť 30 m,Medvedica s mladými,,22,"48,6824411","18,11015699"
225,Medveď - útok,2021-09-10 10:00:00,Bc. Škultéty - pri vyznačovaní,Samec,,8,"48,70180997","18,69116127"
226,Medveď - vizuálny kontakt,2022-06-30 10:00:00,,Medvedica s mladými,,Nedefinované,"49,01284535","19,98999149"
227,Medveď - vizuálny kontakt,2022-06-10 10:00:00,,Medvedica s mladými,,Nedefinované,"49,004495","19,98354691"
228,Medveď - pobytové znaky,2022-05-12 10:00:00,,Nedefinované,,Nedefinované,"49,00810288","19,98602624"
229,Medveď - pobytové znaky,2022-06-03 10:00:00,,Nedefinované,,Nedefinované,"49,00979926","19,99184277"
230,Medveď - pobytové znaky,2022-06-06 10:00:00,,Nedefinované,,Nedefinované,"49,01092594","19,9988741"
231,Medveď - pobytové znaky,2022-07-01 10:00:00,,Nedefinované,,Nedefinované,"49,00672695","19,99822619"
232,Medveď - pobytové znaky,2022-07-01 10:00:00,,Nedefinované,,Nedefinované,"49,00876083","19,99611022"
233,Medveď - pobytové znaky,2022-05-20 10:00:00,,Trus,,Nedefinované,"49,01414304","20,00918474"
234,Medveď - vizuálny kontakt,2022-06-29 10:00:00,,Medvedica s mladými,,Nedefinované,"48,98741227","20,02228506"
235,Medveď - vizuálny kontakt,2022-07-07 10:26:32,,Samec,,Nedefinované,"48,98609284","19,99908315"
236,Medveď - vizuálny kontakt,2022-07-07 10:26:58,,Nedefinované,,Nedefinované,"48,99530385","20,00330781"
237,Medveď - pobytové znaky,2022-07-07 10:29:30,,Nedefinované,,Nedefinované,"48,9912077","19,99652743"
